pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour
,,,,,,,,,,,,,
0.087801,0.010752,0.0031955,0.009722,0.022669,0.0064559,0.010836,0.0086827,0.0094604,0.0032022,0.014646,0.044419,0.0065652,0.012721
5.2464,0.68728,0.35873,0.8534,1.345,0.40169,1.4481,0.95651,0.68408,0.28072,1.0761,2.5976,0.37932,2.9976
0.0085028,0.0030596,0.0011263,0.0029397,0.0075881,0.0018419,0.0027793,0.0024171,0.0031923,0.0016675,0.0058715,0.012871,0.0024318,0.0039979
15.8066,1.46374,1.0222,2.58286,3.86694,0.981857,3.42726,3.35178,1.38061,1.39385,3.51234,6.50874,1.35856,7.13965
0.018587,0.00165,0.00094758,0.0048071,0.0083099,0.0017284,0.0025592,0.0031142,0.0017527,0.0012942,0.008404,0.010499,0.0018558,0.0030095
14.4855,0.882698,0.672227,1.84189,2.90591,0.791786,1.89312,4.60945,0.854436,0.858857,1.68718,4.24629,0.850695,3.59117
0.0051506,0.0018725,0.00089696,0.001472,0.0054279,0.0010198,0.0021154,0.0015265,0.0013151,0.0019228,0.0030409,0.010106,0.0018635,0.0037524
0.086266,0.0019409,0.0053969,0.0039943,0.018229,0.036912,0.0084546,0.10918,0.001483,0.0068397,0.0070832,0.039057,0.038591,0.0074917
0.012421,0.0064137,0.0015445,0.0041301,0.0067089,0.0062757,0.0063148,0.016969,0.0067164,0.0016241,0.0063421,0.0071908,0.010822,0.0088393
0.017618,0.0043703,0.0035329,0.0071023,0.020844,0.0087257,0.0098356,0.028707,0.0031629,0.0057705,0.014414,0.035614,0.011171,0.019708
