pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext,pop_size,base_vector,diff_vector-pop_size_ratio,crossover_method,crossover_prob,beta_min,beta_ext
0.71776,1.1908,0.5457,0.60429,0.54223,0.54946,0.55418,-0.35732,0.7883,-0.27674,-0.2374,-0.29322,-0.31246,-0.24031
0.955034,0.778106,-12.9061,-24.9779,-2.86841,-11.9596,0.904193,-0.0127057,0.143826,-0.0373961,-0.027061,-0.0320339,-0.0387714,-0.0354366
0.86541,0.8756,0.65785,0.59876,0.66439,0.62875,0.66595,-0.04736,0.66807,-0.14383,-0.049989,-0.14661,-0.19412,-0.043988
0.66751,1.0888,0.54878,0.73893,0.68871,0.50803,0.65273,-0.25064,0.68602,-0.17748,-0.22627,-0.37678,-0.30045,-0.33903
0.48935,1.0429,0.34303,0.31985,0.34561,0.19185,0.33922,-0.30539,0.90083,-0.28559,-0.18001,-0.25098,-0.077338,-0.18718
0.61241,1.1323,0.54707,0.60156,0.56991,0.44128,0.49722,-0.30604,0.77229,-0.33108,-0.33344,-0.36432,-0.23472,-0.26399
-1.6067,0.41797,-1.4074,-1.2165,-0.86682,-1.6797,-1.4035,1.1851,0.43931,0.67793,0.61551,0.19061,1.0414,0.74736
-0.55587,0.55532,-0.67934,-0.62222,-0.69895,-0.4951,-0.76453,0.37323,0.67371,0.50967,0.3442,0.34637,0.24085,0.45295
0.67111,0.98444,0.63568,0.68851,0.63613,0.48962,0.61933,-0.28792,0.77709,-0.36324,-0.35732,-0.41817,-0.26474,-0.35852
0.81727,0.79016,0.72189,0.83683,1.0891,0.63989,1.0185,-0.17375,0.67356,-0.2903,-0.0074457,-0.58367,-0.16306,-0.36029
0.63572,1.1195,0.51249,0.53425,0.5027,0.42232,0.48082,-0.27686,0.77392,-0.30678,-0.27626,-0.30998,-0.22792,-0.27831
0.50953,1.1437,0.41228,0.43808,0.47879,0.33627,0.39774,-0.25104,0.88229,-0.26708,-0.21128,-0.33901,-0.24376,-0.24274
0.52228,1.2806,0.46785,0.45258,0.47456,0.42946,0.495,-0.24146,0.74231,-0.28169,-0.28863,-0.31966,-0.29403,-0.32071
0.31066,-0.03954,-0.047036,-0.37549,-0.37452,-0.37593,-0.027179,0.65975,0.66613,0.6724,1.0025,1.0011,1.0025,0.99124
-0.036421,-0.13564,0.52621,-0.060378,-0.7977,-0.039419,0.40015,0.70253,0.47586,-0.4802,-0.013346,0.55187,0.072721,-0.17409
-0.94932,-0.40959,-0.76942,-1.3737,-1.0395,-1.4158,-0.34723,0.69378,0.17416,0.52314,0.98777,0.53122,1.1286,-0.013152
1.5568,1.3852,1.1157,1.3412,1.2444,1.1164,1.1418,-0.365,-0.18378,0.06787,-0.2005,-0.12347,-0.011291,-0.10991
1.1355,1.1438,0.84741,1.216,0.97781,1.1723,0.89312,-0.1529,-0.17201,-0.062406,-0.13733,-0.23096,-0.26024,-0.05059
-12.7248,-12.0865,-4.83639,-0.421823,-12.3347,-10.4853,-0.835503,8.85361,8.09675,0.611129,-3.39547,8.30508,6.5286,-3.55665
-0.97244,-0.36242,0.0908,-0.50702,1.3431,-0.37003,-1.0159,0.80404,-0.16585,-0.33617,0.24273,-1.6487,0.0052152,0.80274
0.12263,0.78717,0.029398,0.040341,-0.12121,-0.032547,0.09436,0.37373,0.48017,0.18899,0.14257,0.17214,0.021787,0.1934
-0.52508,0.50823,-0.46859,-0.47095,-0.68743,-0.4907,-0.58268,0.38072,0.48666,0.17341,0.22546,0.22271,0.12956,0.39427
-0.45662,0.50201,-0.60467,-0.57386,-0.71061,-0.46121,-0.41784,0.53554,0.54611,0.33396,0.26752,0.36769,0.094278,0.39889
