Problem,Instances
Morris-DE-Problem1,10
Morris-DE-Problem10,10
Morris-DE-Problem11,10
Morris-DE-Problem12,10
Morris-DE-Problem13,30
Morris-DE-Problem14,10
Morris-DE-Problem15,30
Morris-DE-Problem16,30
Morris-DE-Problem17,30
Morris-DE-Problem18,30
Morris-DE-Problem19,30
Morris-DE-Problem2,10
Morris-DE-Problem20,30
Morris-DE-Problem21,30
Morris-DE-Problem22,10
Morris-DE-Problem23,10
Morris-DE-Problem24,10
Morris-DE-Problem25,10
Morris-DE-Problem26,10
Morris-DE-Problem27,10
Morris-DE-Problem28,10
Morris-DE-Problem29,10
Morris-DE-Problem3,10
Morris-DE-Problem30,10
Morris-DE-Problem31,10
Morris-DE-Problem32,10
Morris-DE-Problem33,10
Morris-DE-Problem4,10
Morris-DE-Problem5,10
Morris-DE-Problem6,10
Morris-DE-Problem7,10
Morris-DE-Problem8,10
Morris-DE-Problem9,10
MorrisLHS-DE-Problem1,30
MorrisLHS-DE-Problem10,10
MorrisLHS-DE-Problem11,30
MorrisLHS-DE-Problem12,30
MorrisLHS-DE-Problem13,30
MorrisLHS-DE-Problem14,10
MorrisLHS-DE-Problem15,30
MorrisLHS-DE-Problem16,30
MorrisLHS-DE-Problem17,30
MorrisLHS-DE-Problem18,30
MorrisLHS-DE-Problem19,30
MorrisLHS-DE-Problem2,30
MorrisLHS-DE-Problem20,30
MorrisLHS-DE-Problem21,30
MorrisLHS-DE-Problem22,30
MorrisLHS-DE-Problem23,30
MorrisLHS-DE-Problem24,10
MorrisLHS-DE-Problem25,10
MorrisLHS-DE-Problem26,10
MorrisLHS-DE-Problem27,10
MorrisLHS-DE-Problem28,10
MorrisLHS-DE-Problem29,10
MorrisLHS-DE-Problem3,30
MorrisLHS-DE-Problem30,10
MorrisLHS-DE-Problem31,10
MorrisLHS-DE-Problem32,10
MorrisLHS-DE-Problem33,10
MorrisLHS-DE-Problem4,30
MorrisLHS-DE-Problem5,30
MorrisLHS-DE-Problem6,30
MorrisLHS-DE-Problem7,30
MorrisLHS-DE-Problem8,10
MorrisLHS-DE-Problem9,30
SOBOL-DE-Problem1,30
SOBOL-DE-Problem10,10
SOBOL-DE-Problem11,10
SOBOL-DE-Problem12,10
SOBOL-DE-Problem13,10
SOBOL-DE-Problem14,30
SOBOL-DE-Problem15,30
SOBOL-DE-Problem16,10
SOBOL-DE-Problem17,10
SOBOL-DE-Problem18,30
SOBOL-DE-Problem19,10
SOBOL-DE-Problem2,10
SOBOL-DE-Problem20,10
SOBOL-DE-Problem21,10
SOBOL-DE-Problem22,30
SOBOL-DE-Problem23,10
SOBOL-DE-Problem24,10
SOBOL-DE-Problem25,10
SOBOL-DE-Problem26,10
SOBOL-DE-Problem27,10
SOBOL-DE-Problem28,10
SOBOL-DE-Problem29,10
SOBOL-DE-Problem3,10
SOBOL-DE-Problem30,10
SOBOL-DE-Problem31,10
SOBOL-DE-Problem32,10
SOBOL-DE-Problem33,10
SOBOL-DE-Problem4,10
SOBOL-DE-Problem5,10
SOBOL-DE-Problem6,10
SOBOL-DE-Problem8,10
SOBOL-DE-Problem9,10
Morris-CMA-ES-Problem1,10
Morris-CMA-ES-Problem10,10
Morris-CMA-ES-Problem11,10
Morris-CMA-ES-Problem12,10
Morris-CMA-ES-Problem13,10
Morris-CMA-ES-Problem14,10
Morris-CMA-ES-Problem16,10
Morris-CMA-ES-Problem18,10
Morris-CMA-ES-Problem2,10
Morris-CMA-ES-Problem21,10
Morris-CMA-ES-Problem22,10
Morris-CMA-ES-Problem23,10
Morris-CMA-ES-Problem24,10
Morris-CMA-ES-Problem25,10
Morris-CMA-ES-Problem26,10
Morris-CMA-ES-Problem27,10
Morris-CMA-ES-Problem29,10
Morris-CMA-ES-Problem3,10
Morris-CMA-ES-Problem30,10
Morris-CMA-ES-Problem4,10
Morris-CMA-ES-Problem5,10
Morris-CMA-ES-Problem6,10
Morris-CMA-ES-Problem7,10
Morris-CMA-ES-Problem8,10
Morris-CMA-ES-Problem9,10
MorrisLHS-CMA-ES-Problem1,30
MorrisLHS-CMA-ES-Problem10,30
MorrisLHS-CMA-ES-Problem11,30
MorrisLHS-CMA-ES-Problem12,30
MorrisLHS-CMA-ES-Problem13,30
MorrisLHS-CMA-ES-Problem14,30
MorrisLHS-CMA-ES-Problem16,30
MorrisLHS-CMA-ES-Problem17,10
MorrisLHS-CMA-ES-Problem18,30
MorrisLHS-CMA-ES-Problem2,30
MorrisLHS-CMA-ES-Problem21,30
MorrisLHS-CMA-ES-Problem22,30
MorrisLHS-CMA-ES-Problem23,30
MorrisLHS-CMA-ES-Problem24,10
MorrisLHS-CMA-ES-Problem25,10
MorrisLHS-CMA-ES-Problem26,10
MorrisLHS-CMA-ES-Problem27,10
MorrisLHS-CMA-ES-Problem28,10
MorrisLHS-CMA-ES-Problem29,10
MorrisLHS-CMA-ES-Problem3,30
MorrisLHS-CMA-ES-Problem30,10
MorrisLHS-CMA-ES-Problem31,10
MorrisLHS-CMA-ES-Problem4,30
MorrisLHS-CMA-ES-Problem5,30
MorrisLHS-CMA-ES-Problem6,30
MorrisLHS-CMA-ES-Problem7,30
MorrisLHS-CMA-ES-Problem8,30
MorrisLHS-CMA-ES-Problem9,30
SOBOL-CMA-ES-Problem1,30
SOBOL-CMA-ES-Problem10,30
SOBOL-CMA-ES-Problem11,30
SOBOL-CMA-ES-Problem12,30
SOBOL-CMA-ES-Problem13,30
SOBOL-CMA-ES-Problem14,30
SOBOL-CMA-ES-Problem16,30
SOBOL-CMA-ES-Problem18,30
SOBOL-CMA-ES-Problem2,30
SOBOL-CMA-ES-Problem21,30
SOBOL-CMA-ES-Problem22,30
SOBOL-CMA-ES-Problem23,30
SOBOL-CMA-ES-Problem24,10
SOBOL-CMA-ES-Problem25,10
SOBOL-CMA-ES-Problem26,10
SOBOL-CMA-ES-Problem27,10
SOBOL-CMA-ES-Problem29,10
SOBOL-CMA-ES-Problem3,30
SOBOL-CMA-ES-Problem30,10
SOBOL-CMA-ES-Problem31,10
SOBOL-CMA-ES-Problem4,30
SOBOL-CMA-ES-Problem5,30
SOBOL-CMA-ES-Problem6,30
SOBOL-CMA-ES-Problem7,30
SOBOL-CMA-ES-Problem8,30
SOBOL-CMA-ES-Problem9,30
