,$\lambda$,$\lambda$,$\mu\lambda_{\mathrm{ratio}}$,$\mu\lambda_{\mathrm{ratio}}$,$\sigma_0$,$\sigma_0$, $\alpha_{\mu}$, $\alpha_{\mu}$,$\sigma_{0-scale}$,$\sigma_{0-scale}$,$\lambda$,$\lambda$,$\mu\lambda_{\mathrm{ratio}}$,$\mu\lambda_{\mathrm{ratio}}$,$\sigma_0$,$\sigma_0$, $\alpha_{\mu}$, $\alpha_{\mu}$,$\sigma_{0-scale}$,$\sigma_{0-scale}$,index
0,0.0,1.0,1.0515585649540842,0.29805790563979634,-0.49852498715100385,0.6203001224254502,1.3043749091241998,0.19807829547008876,1.375534380191827,0.17509724340746297,-2.142413096292033,0.037053419612052864,0.7236025192489705,0.4726816990277839,1.6671864729243884,0.10172993766950077,1.2516472840094994,0.21652254570469573,1.5591386794468671,0.12527133929936793,$\lambda$
1,-1.0515585649540842,0.29805790563979634,0.0,1.0,-1.7170425932282056,0.09216064746518202,0.2846158183891937,0.7771139981593144,0.4095871521053353,0.683858306735666,-3.8039897897487944,0.000388781808435108,-0.40087642371527904,0.690219083067537,0.8457791760177995,0.40170548131026573,0.24587199194276937,0.8067878413617318,0.5706649283784321,0.5707827116139261,$\mu\lambda_{\mathrm{ratio}}$
2,0.49852498715100385,0.6203001224254502,1.7170425932282056,0.09216064746518202,0.0,1.0,2.0107744018522857,0.04975736833804908,2.058334923271848,0.04478832422265547,-1.72104594021441,0.09142566638828317,1.362303159562528,0.17920780728496843,2.2927373347117275,0.026106288316124084,1.9334439991843053,0.058853275067962126,2.3186079325033604,0.024544449730820695,$\sigma_0$
3,-1.3043749091241998,0.19807829547008876,-0.2846158183891937,0.7771139981593144,-2.0107744018522857,0.04975736833804908,0.0,1.0,0.1443071414425215,0.8858380320143849,-4.197191092808495,0.00011068946432673887,-0.6994711023974386,0.48749914730382404,0.6268481054156358,0.5336107031932555,-0.029808666704716595,0.9763383139867045,0.2832903748840316,0.7781239151928617, $\alpha_{\mu}$
4,-1.375534380191827,0.17509724340746297,-0.4095871521053353,0.683858306735666,-2.058334923271848,0.04478832422265547,-0.1443071414425215,0.8858380320143849,0.0,1.0,-4.151578654454656,0.0001283878619269908,-0.8038550374600923,0.425286070918539,0.4832887650633422,0.6310003803473819,-0.16763574120916538,0.8675460517827385,0.11430170203526788,0.9094563949234601,$\sigma_{0-scale}$
5,2.142413096292033,0.037053419612052864,3.8039897897487944,0.000388781808435108,1.72104594021441,0.09142566638828317,4.197191092808495,0.00011068946432673887,4.151578654454656,0.0001283878619269908,0.0,1.0,3.410447579458023,0.0012912446171489443,4.1576416332588195,0.00012588597937088426,4.043512992113625,0.00018197438358957019,4.642932518866822,2.5185682802226516e-05,$\lambda$
6,-0.7236025192489705,0.4726816990277839,0.40087642371527904,0.690219083067537,-1.362303159562528,0.17920780728496843,0.6994711023974386,0.48749914730382404,0.8038550374600923,0.425286070918539,-3.410447579458023,0.0012912446171489443,0.0,1.0,1.1898329916994668,0.2397312632552182,0.6465339489378236,0.5208905007736648,1.0063057567064582,0.3191138165501588,$\mu\lambda_{\mathrm{ratio}}$
7,-1.6671864729243884,0.10172993766950077,-0.8457791760177995,0.40170548131026573,-2.2927373347117275,0.026106288316124084,-0.6268481054156358,0.5336107031932555,-0.4832887650633422,0.6310003803473819,-4.1576416332588195,0.00012588597937088426,-1.1898329916994668,0.2397312632552182,0.0,1.0,-0.6350149881502793,0.5283140217790201,-0.4243425629804004,0.6731363178745131,$\sigma_0$
8,-1.2516472840094994,0.21652254570469573,-0.24587199194276937,0.8067878413617318,-1.9334439991843053,0.058853275067962126,0.029808666704716595,0.9763383139867045,0.16763574120916538,0.8675460517827385,-4.043512992113625,0.00018197438358957019,-0.6465339489378236,0.5208905007736648,0.6350149881502793,0.5283140217790201,0.0,1.0,0.3025703024795518,0.7634725354613323, $\alpha_{\mu}$
9,-1.5591386794468671,0.12527133929936793,-0.5706649283784321,0.5707827116139261,-2.3186079325033604,0.024544449730820695,-0.2832903748840316,0.7781239151928617,-0.11430170203526788,0.9094563949234601,-4.642932518866822,2.5185682802226516e-05,-1.0063057567064582,0.3191138165501588,0.4243425629804004,0.6731363178745131,-0.3025703024795518,0.7634725354613323,0.0,1.0,$\sigma_{0-scale}$
