index,,$\lambda$,$P[\mathrm{X}]$,$\mathrm{X}_{\mathrm{DI}}$,$P[\mathrm{PM}]$,$\mathrm{PM}_{\mathrm{DI}}$,$K$,$\lambda$,$P[\mathrm{X}]$,$\mathrm{X}_{\mathrm{DI}}$,$P[\mathrm{PM}]$,$\mathrm{PM}_{\mathrm{DI}}$,$K$
$\lambda$,t,,,,,,,,,,,,
$\lambda$,p,,,,,,,,,,,,
$P[\mathrm{X}]$,t,2.62,,,,,,,,,,,
$P[\mathrm{X}]$,p,0.02,,,,,,,,,,,
$\mathrm{X}_{\mathrm{DI}}$,t,7.98,2.53,,,,,,,,,,
$\mathrm{X}_{\mathrm{DI}}$,p,0,0.02,,,,,,,,,,
$P[\mathrm{PM}]$,t,8.87,2.83,0.64,,,,,,,,,
$P[\mathrm{PM}]$,p,0,0.01,0.53,,,,,,,,,
$\mathrm{PM}_{\mathrm{DI}}$,t,7.61,2.29,-0.56,-1.32,,,,,,,,
$\mathrm{PM}_{\mathrm{DI}}$,p,0,0.03,0.58,0.2,,,,,,,,
$K$,t,10.27,3.63,3.26,5.07,3.95,,,,,,,
$K$,p,0,0,0,0,0,,,,,,,
$\lambda$,t,-0.98,-3.64,-13.71,-16.94,-13.06,-20.4,,,,,,
$\lambda$,p,0.34,0,0,0,0,0,,,,,,
$P[\mathrm{X}]$,t,8.29,2.76,0.55,0.07,1.1,-2.44,14.15,,,,,
$P[\mathrm{X}]$,p,0,0.01,0.59,0.95,0.29,0.03,0,,,,,
$\mathrm{X}_{\mathrm{DI}}$,t,6.21,2.02,-0.44,-0.84,-0.08,-2.17,8.97,-0.8,,,,
$\mathrm{X}_{\mathrm{DI}}$,p,0,0.06,0.66,0.41,0.94,0.04,0,0.43,,,,
$P[\mathrm{PM}]$,t,6.14,2.02,-0.4,-0.77,-0.04,-2.06,8.78,-0.75,0.03,,,
$P[\mathrm{PM}]$,p,0,0.06,0.7,0.45,0.97,0.05,0,0.47,0.98,,,
$\mathrm{PM}_{\mathrm{DI}}$,t,6.55,2.26,-0.05,-0.41,0.32,-1.75,9.45,-0.41,0.32,0.28,,
$\mathrm{PM}_{\mathrm{DI}}$,p,0,0.04,0.96,0.68,0.75,0.1,0,0.69,0.75,0.78,,
$K$,t,4.78,1.08,-1.9,-2.37,-1.56,-3.61,6.92,-2.23,-1.22,-1.22,-1.53,
$K$,p,0,0.3,0.07,0.03,0.14,0,0,0.04,0.24,0.24,0.14,
